Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-10 04:00:00-05:00,142.63,142.94,142.1,142.89,0,0.0,0.0
2024-01-10 05:00:00-05:00,142.89,143.04,142.79,142.89,0,0.0,0.0
2024-01-10 06:00:00-05:00,142.85,142.87,142.61,142.69,0,0.0,0.0
2024-01-10 07:00:00-05:00,142.69,142.9,142.51,142.84,0,0.0,0.0
2024-01-10 08:00:00-05:00,142.86,142.96,142.23,142.56,0,0.0,0.0
2024-01-10 09:00:00-05:00,142.39,142.56,142.21,142.44,0,0.0,0.0
2024-01-10 09:30:00-05:00,142.52000427246094,144.03500366210938,142.4600067138672,143.02499389648438,3568408,0.0,0.0
2024-01-10 10:30:00-05:00,143.02000427246094,143.5399932861328,142.9550018310547,143.17999267578125,1610315,0.0,0.0
2024-01-10 11:30:00-05:00,143.17999267578125,143.5500030517578,142.92999267578125,143.5395965576172,1175109,0.0,0.0
2024-01-10 12:30:00-05:00,143.5399932861328,144.0399932861328,143.52999877929688,143.93499755859375,1591456,0.0,0.0
2024-01-10 13:30:00-05:00,143.92999267578125,144.52499389648438,143.75,144.1999969482422,1782319,0.0,0.0
2024-01-10 14:30:00-05:00,144.1999969482422,144.33999633789062,143.61000061035156,143.6864013671875,2008748,0.0,0.0
2024-01-10 15:30:00-05:00,143.69000244140625,143.86000061035156,143.30499267578125,143.77000427246094,2471985,0.0,0.0
2024-01-10 16:00:00-05:00,143.76,143.99,143.76,143.85,0,0.0,0.0
2024-01-10 17:00:00-05:00,143.84,143.95,143.83,143.915,0,0.0,0.0
2024-01-10 18:00:00-05:00,143.9,143.99,143.74,143.94,0,0.0,0.0
