Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-18 04:00:00-05:00,215.53,217.87,215.06,217.84,0,0.0,0.0
2024-01-18 05:00:00-05:00,217.84,217.98,217.2,217.49,0,0.0,0.0
2024-01-18 06:00:00-05:00,217.43,218.89,217.36,218.81,0,0.0,0.0
2024-01-18 07:00:00-05:00,218.76,219.28,218.26,218.6,0,0.0,0.0
2024-01-18 08:00:00-05:00,218.64,219.2781,212.55,218.22,0,0.0,0.0
2024-01-18 09:00:00-05:00,218.22,218.75,217.51,218.45,0,0.0,0.0
2024-01-18 09:30:00-05:00,216.8800048828125,217.4499969482422,213.55999755859375,214.3000030517578,27637121,0.0,0.0
2024-01-18 10:30:00-05:00,214.39999389648438,214.5299072265625,210.5,211.97999572753906,21847359,0.0,0.0
2024-01-18 11:30:00-05:00,211.99000549316406,212.69000244140625,209.50999450683594,210.63999938964844,14509820,0.0,0.0
2024-01-18 12:30:00-05:00,210.65359497070312,210.92999267578125,208.74000549316406,209.27999877929688,11509719,0.0,0.0
2024-01-18 13:30:00-05:00,209.25999450683594,211.69000244140625,209.22000122070312,211.57000732421875,9706704,0.0,0.0
2024-01-18 14:30:00-05:00,211.58999633789062,211.94000244140625,210.16000366210938,211.60000610351562,11150328,0.0,0.0
2024-01-18 15:30:00-05:00,211.61000061035156,212.0,210.8300018310547,211.8000030517578,6820931,0.0,0.0
2024-01-18 16:00:00-05:00,211.88,211.89,211.2,211.35,0,0.0,0.0
2024-01-18 17:00:00-05:00,211.355,225.69263,198.882,210.67,0,0.0,0.0
2024-01-18 18:00:00-05:00,210.71,210.75,209.87,210.63,0,0.0,0.0
